,OccBeds,MaxBeds,OccCovBeds,CovLvl3Beds,MaxCovBeds,FreeNurse,Wait,CovWait,CovArrive,CovNotTreated,CovDeaths,SideroomWard,SideroomITU,WardBeds,CovWardBeds,run,CovLvl2Beds
58,5.353333,10,1314.793333,891.386667,2706,1492.566667,0.02,0.3,514.233333,0,47.886667,0,133.813333,12.086667,426.073333,75.5,423.406667
59,5.426667,10,1352.233333,913.573333,2706,1450.346667,0.04,0.38,519.653333,0,48.06,0,135.666667,12,449.48,75.5,438.66
60,5.613333,10,1387.353333,933.66,2706,1403.48,0.046667,0.393333,523.76,0,50.3,0,137.133333,11.84,472.286667,75.5,453.693333
61,5.713333,10,1418.66,952.366667,2706,1355.413333,0.046667,0.373333,525.98,0,51.846667,0,137.966667,11.813333,496.053333,75.5,466.293333
62,5.613333,10,1449.74,967.506667,2706,1305.953333,0.04,0.446667,526.086667,0,52.4,0,138.366667,11.986667,519.146667,75.5,482.233333
63,5.646667,10,1474.066667,980.473333,2706,1265.013333,0.04,0.38,525.36,0,54.013333,0,136.733333,11.966667,543.84,75.5,493.593333
64,5.62,10,1495.726667,990.2,2706,1228.826667,0.066667,0.353333,518.386667,0,53.546667,0,135.56,11.993333,568.84,75.5,505.526667
65,5.586667,10,1514.726667,998.84,2706,1198.38,0.046667,0.353333,513.926667,0,54.5,0,135.653333,11.933333,593.486667,75.5,515.886667
66,5.613333,10,1527.526667,1002.94,2706,1178.046667,0.053333,0.446667,510.466667,0,55.053333,0,132.44,11.84,619.033333,75.5,524.586667
67,5.533333,10,1539.393333,1006.106667,2706,1160.313333,0.053333,0.493333,500.3,0,54.94,0,132.3,12.006667,643.393333,75.5,533.286667
68,5.546667,10,1546.066667,1008.453333,2706,1151.506667,0.026667,0.493333,491.486667,0,54.826667,0,129.573333,12.086667,667.446667,75.5,537.613333
69,5.406667,10,1547.546667,1004.166667,2706,1151.046667,0.026667,0.526667,481.533333,0,55.806667,0,126.24,12.273333,691.06,75.5,543.38
70,5.373333,10,1546.3,998.026667,2706,1154.113333,0.033333,0.466667,469.933333,0,55.12,0,123.786667,12.226667,714.22,75.5,548.273333
71,5.266667,10,1539.32,988.84,2706,1163.493333,0.06,0.4,458.52,0,54.686667,0,120.493333,12.4,737.526667,75.5,550.48
72,5.293333,10,1529.606667,979.36,2706,1175.46,0.026667,0.46,444.38,0,53.493333,0,116.513333,12.253333,760.773333,75.5,550.246667
73,5.346667,10,1516.293333,966.92,2706,1189.98,0.04,0.433333,431.153333,0,52.826667,0,113.06,12.266667,781.333333,75.5,549.373333
74,5.46,10,1498.713333,949.613333,2706,1208.906667,0.073333,0.48,416.6,0,52.833333,0,108.966667,12.233333,800.52,75.5,549.1
75,5.386667,10,1478.68,931.26,2706,1232.993333,0.06,0.48,401.3,0,50.193333,0,103.866667,12.226667,817.626667,75.5,547.42
76,5.333333,10,1455.8,911.586667,2706,1263.14,0.04,0.44,387.993333,0,50.306667,0,101.94,12.16,835.213333,75.5,544.213333
77,5.32,10,1428.62,890.066667,2706,1300.326667,0.033333,0.38,372.386667,0,49.273333,0,97.013333,12.246667,851.013333,75.5,538.553333
78,5.246667,10,1398.713333,867.446667,2706,1342.22,0.02,0.466667,357.773333,0,47.926667,0,94.48,12.02,866.526667,75.5,531.266667
79,5.353333,10,1367.866667,841.986667,2706,1385.413333,0.02,0.453333,342.386667,0,46.253333,0,88.273333,11.9,875.893333,75.5,525.88
80,5.533333,10,1335.6,818.846667,2706,1431.306667,0.02,0.38,329.473333,0,44.9,0,86.58,11.826667,884.393333,75.5,516.753333
81,5.48,10,1300.62,790.446667,2706,1480.2,0.026667,0.386667,311.88,0,43.693333,0,81.886667,11.713333,890.72,75.5,510.173333
82,5.553333,10,1262.58,762.4,2706,1532.873333,0.013333,0.36,298.72,0,43.133333,0,78.713333,11.84,896.113333,75.5,500.18
83,5.513333,10,1222.353333,732.873333,2706,1588.346667,0.026667,0.373333,281.766667,0,41.666667,0,73.753333,11.92,900.633333,75.5,489.48
84,5.5,10,1184.026667,704.78,2706,1641.726667,0.006667,0.366667,269.246667,0,38.82,0,70.88,12.006667,902.56,75.5,479.246667
85,5.553333,10,1141.64,674.42,2706,1699.426667,0.006667,0.346667,254.74,0,37.973333,0,65.4,12.04,902.506667,75.5,467.22
86,5.566667,10,1102.3,646.02,2706,1754.94,0.02,0.44,241.666667,0,35.586667,0,63.706667,11.96,899.853333,75.5,456.28
87,5.513333,10,1057.446667,615.64,2706,1817.726667,0.026667,0.34,227.9,0,35.746667,0,59.486667,12.026667,897.106667,75.5,441.806667
88,5.6,10,1015.873333,587.9,2706,1876.906667,0.033333,0.366667,215.606667,0,32.66,0,55.773333,11.946667,889.813333,75.5,427.973333
89,5.613333,10,973.113333,559.773333,2706,1939.073333,0.046667,0.3,203.573333,0,31.946667,0,53.113333,11.813333,883.366667,75.5,413.34
90,5.666667,10,929.813333,532.633333,2706,2002.593333,0.073333,0.28,193.62,0,30.413333,0,50.113333,11.726667,875.266667,75.5,397.18
91,5.766667,10,889.313333,506.713333,2706,2063.693333,0.066667,0.36,183.14,0,28.366667,0,48.586667,11.686667,865.14,75.5,382.6
92,5.7,10,847.213333,480.18,2706,2126.493333,0.1,0.36,171.013333,0,27.333333,0,43.966667,11.946667,851.506667,75.5,367.033333
93,5.56,10,806.106667,455.26,2706,2188.806667,0.053333,0.26,161.893333,0,26.106667,0,42.626667,12.093333,839.08,75.5,350.846667
94,5.486667,10,765.926667,431.193333,2706,2250.546667,0.04,0.273333,150.526667,0,24.613333,0,39.6,12.186667,824.033333,75.5,334.733333
95,5.42,10,727.486667,407.386667,2706,2310.413333,0.046667,0.226667,143.346667,0,23.06,0,37.006667,12.266667,806.013333,75.5,320.1
96,5.546667,10,690.913333,384.166667,2706,2367.173333,0.046667,0.266667,134.306667,0,22.113333,0,35.726667,12.1,786.386667,75.5,306.746667
97,5.566667,10,654.593333,363.48,2706,2423.64,0.053333,0.266667,126.966667,0,20.893333,0,33.126667,11.96,765.333333,75.5,291.113333
98,5.5,10,619.9,342.493333,2706,2477.486667,0.046667,0.206667,118.306667,0,19.52,0,30.86,12.153333,744.1,75.5,277.406667
99,5.486667,10,587.146667,323.506667,2706,2528.853333,0.04,0.226667,112.713333,0,19.14,0,29.593333,12.093333,721.026667,75.5,263.64
100,5.6,10,555.113333,304.746667,2706,2579.2,0.046667,0.193333,104.68,0,17.506667,0,27.56,12.273333,698.84,75.5,250.366667
101,5.686667,10,524.2,287.733333,2706,2628.033333,0.06,0.14,99.593333,0,16.88,0,26.273333,12.326667,674.88,75.5,236.466667
102,5.706667,10,495.073333,271.946667,2706,2673.76,0.046667,0.14,93.173333,0,15.28,0,24.706667,12.3,651.48,75.5,223.126667
103,5.853333,10,466.846667,256.246667,2706,2718.666667,0.026667,0.16,86.74,0,14.566667,0,23.12,12.093333,628.5,75.5,210.6
104,5.886667,10,441.94,242.5,2706,2759.146667,0.04,0.16,82.246667,0,12.62,0,21.673333,12.046667,602.213333,75.5,199.44
105,6.053333,10,416.24,228.06,2706,2800.073333,0.073333,0.14,76.933333,0,12.58,0,19.6,11.78,577.58,75.5,188.18
106,6.053333,10,391.586667,213.986667,2706,2839.34,0.066667,0.166667,72.526667,0,12.113333,0,18.033333,11.826667,553.54,75.5,177.6
107,6.1,10,369.58,201.38,2706,2875.08,0.046667,0.106667,67.606667,0,11.326667,0,17.82,11.72,527.26,75.5,168.2
108,6.08,10,347.566667,188.233333,2706,2910.853333,0.046667,0.12,63.36,0,10.726667,0,15.94,11.64,502.82,75.5,159.333333
109,5.846667,10,326.546667,176.54,2706,2945.586667,0.026667,0.126667,59.08,0,10.08,0,15.26,11.806667,479.786667,75.5,150.006667
110,5.76,10,307.713333,166.02,2706,2977,0.04,0.14,56.9,0,9.54,0,14.653333,11.893333,455.56,75.5,141.693333
111,5.66,10,289.14,156.213333,2706,3007.88,0.02,0.126667,52.9,0,8.92,0,13.986667,12.073333,433.066667,75.5,132.926667
112,5.68,10,271.773333,146.366667,2706,3036.246667,0.026667,0.12,49.726667,0,8.226667,0,12.66,12.066667,411.08,75.5,125.406667
113,5.433333,10,255.773333,138,2706,3063.32,0.026667,0.113333,47.306667,0,7.993333,0,12.393333,12.306667,390.033333,75.5,117.773333
114,5.526667,10,240.753333,129.146667,2706,3088.32,0.02,0.106667,44.906667,0,7.373333,0,11.56,12.313333,369.673333,75.5,111.606667
115,5.473333,10,226.16,121.253333,2706,3112.44,0.026667,0.073333,42.553333,0,7.066667,0,10.886667,12.353333,349.546667,75.5,104.906667
116,5.28,10,212.553333,113.966667,2706,3135.18,0.02,0.053333,40.373333,0,6.8,0,10.466667,12.366667,330.306667,75.5,98.586667
117,5.306667,10,199.66,107.34,2706,3156.966667,0.053333,0.073333,36.88,0,6.146667,0,9.973333,12.453333,312.46,75.5,92.32
118,5.32,10,187.733333,101.066667,2706,3176.753333,0.053333,0.06,34.966667,0,5.653333,0,8.953333,12.286667,295.266667,75.5,86.666667
119,5.486667,10,176.68,95.133333,2706,3195.26,0.053333,0.046667,32.96,0,5.253333,0,8.406667,12.24,278.126667,75.5,81.546667
120,5.513333,10,166.066667,89.446667,2706,3212.906667,0.053333,0.073333,30.68,0,5.2,0,7.913333,12.14,262.546667,75.5,76.62
121,5.64,10,156.06,84.753333,2706,3229.74,0.026667,0.053333,30.32,0,5.126667,0,7.98,11.953333,248.1,75.5,71.306667
122,5.753333,10,146.293333,79.32,2706,3246.32,0.02,0.046667,27.82,0,4.9,0,7.12,11.9,234.466667,75.5,66.973333
123,5.886667,10,137.793333,74.513333,2706,3260.386667,0.013333,0.02,25.933333,0,4.346667,0,6.78,11.68,221.033333,75.5,63.28
124,5.753333,10,129.793333,70.586667,2706,3274.193333,0.013333,0.06,25.373333,0,3.973333,0,6.606667,11.813333,208.8,75.5,59.206667
125,5.706667,10,122.213333,66.68,2706,3287.18,0.013333,0.033333,23.933333,0,3.766667,0,6.106667,11.826667,196.56,75.5,55.533333
126,5.526667,10,115.286667,63.046667,2706,3299.146667,0.026667,0.013333,21.84,0,3.46,0,5.726667,11.893333,184.553333,75.5,52.24
127,5.393333,10,108.966667,59.373333,2706,3310.213333,0.02,0.04,20.92,0,3.486667,0,5.406667,11.926667,173.186667,75.5,49.593333
128,5.353333,10,102.86,56.12,2706,3320.76,0.006667,0.053333,19.793333,0,3.233333,0,5.133333,12.026667,162.746667,75.5,46.74
129,5.533333,10,97.426667,53.313333,2706,3330.226667,0.02,0.053333,19.213333,0,2.74,0,5.166667,11.84,153.26,75.5,44.113333
130,5.4,10,91.986667,50.533333,2706,3339.573333,0.04,0.073333,18.44,0,2.833333,0,4.773333,11.833333,144.406667,75.5,41.453333
131,5.44,10,87.186667,48.106667,2706,3347.886667,0.046667,0.026667,16.686667,0,2.78,0,4.533333,11.906667,134.906667,75.5,39.08
132,5.44,10,82.586667,45.28,2706,3355.573333,0.046667,0.046667,15.826667,0,2.4,0,3.913333,11.986667,126.473333,75.5,37.306667
133,5.413333,10,77.626667,42.4,2706,3363.92,0.04,0.02,14.986667,0,2.62,0,3.773333,12.08,118.726667,75.5,35.226667
134,5.493333,10,73.36,39.66,2706,3370.846667,0.033333,0.02,13.773333,0,2.113333,0,3.64,11.96,111.713333,75.5,33.7
135,5.486667,10,69.453333,37.506667,2706,3377.78,0.046667,0.013333,14.313333,0,2.033333,0,3.566667,11.96,104.92,75.5,31.946667
136,5.526667,10,65.826667,35.48,2706,3383.973333,0.066667,0.02,12.9,0,1.953333,0,3.253333,11.82,98.533333,75.5,30.346667
137,5.58,10,62.273333,33.56,2706,3390.086667,0.06,0.033333,11.993333,0,1.92,0,3.18,11.68,92.953333,75.5,28.713333
138,5.513333,10,58.86,31.766667,2706,3395.846667,0.04,0.026667,12.126667,0,1.9,0,3.04,11.72,87.413333,75.5,27.093333
139,5.526667,10,55.54,29.993333,2706,3401.453333,0.02,0.026667,10.92,0,1.746667,0,2.733333,11.706667,82.18,75.5,25.546667
140,5.546667,10,52.44,28.586667,2706,3406.586667,0.006667,0,10.013333,0,1.566667,0,2.733333,11.586667,77.493333,75.5,23.853333
141,5.633333,10,49.633333,27.44,2706,3411.233333,0.013333,0.02,9.746667,0,1.38,0,2.68,11.553333,73.613333,75.5,22.193333
142,5.653333,10,46.573333,26.006667,2706,3416.24,0.013333,0.026667,9.013333,0,1.42,0,2.26,11.5,69.793333,75.5,20.566667
143,5.553333,10,44.066667,24.633333,2706,3420.54,0.053333,0.006667,9.073333,0,1.46,0,2.313333,11.553333,65.533333,75.5,19.433333
144,5.613333,10,41.52,23.133333,2706,3424.726667,0.06,0.02,7.953333,0,1.306667,0,1.986667,11.613333,61.766667,75.5,18.386667
145,5.633333,10,39.193333,21.866667,2706,3428.546667,0.02,0.026667,8.08,0,1.306667,0,2.02,11.7,58.646667,75.5,17.326667
146,5.62,10,37.433333,20.806667,2706,3431.713333,0.02,0.013333,8.16,0,1.193333,0,2.2,11.726667,55.56,75.5,16.626667
147,5.573333,10,35.586667,19.746667,2706,3434.873333,0.013333,0.026667,6.846667,0,1.086667,0,1.833333,11.846667,52.213333,75.5,15.84
148,5.626667,10,33.566667,18.713333,2706,3438.186667,0.053333,0,6.633333,0,1.086667,0,1.706667,11.706667,49.486667,75.5,14.853333
149,5.52,10,32.18,17.986667,2706,3440.853333,0.026667,0.006667,6.906667,0,0.993333,0,1.926667,11.74,46.473333,75.5,14.193333
150,5.533333,10,30.493333,16.92,2706,3443.486667,0.013333,0,5.94,0,0.94,0,1.433333,11.773333,43.953333,75.5,13.573333
151,5.72,10,29.013333,16.12,2706,3445.793333,0.046667,0.006667,6.2,0,0.973333,0,1.593333,11.62,41.553333,75.5,12.893333
152,5.66,10,27.493333,15.446667,2706,3448.44,0.046667,0,6.18,0,0.853333,0,1.466667,11.66,39.186667,75.5,12.046667
153,5.593333,10,25.98,14.573333,2706,3450.94,0.026667,0.006667,4.82,0,0.72,0,1.16,11.68,37.173333,75.5,11.406667
154,5.726667,10,24.313333,13.666667,2706,3453.426667,0.053333,0.013333,4.76,0,0.88,0,1.253333,11.626667,35.14,75.5,10.646667
